Bus_name,Bus_type,Arrival_time,Departure_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
HRTC - 551,A/C Executive (2+3),01:30,15:30,10h 00m,INR 632,34 Seats available,N/A,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 525,Ordinary 3+2 Non AC Seater,03:00,16:50,10h 10m,INR 512,27 Seats available,N/A,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 532,Ordinary 3+2 Non AC Seater,04:15,17:59,10h 16m,INR 512,27 Seats available,N/A,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 2040094,Ordinary 3+2 Non AC Seater,04:15,18:31,09h 44m,INR 512,37 Seats available,N/A,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,04:50,19:35,09h 15m,INR 912,10 Seats available,N/A,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 301,Ordinary 3+2 Non AC Seater,05:30,19:43,09h 47m,INR 512,26 Seats available,N/A,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 591,A/C Executive (2+3),07:20,21:00,10h 20m,INR 632,28 Seats available,N/A,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,06:30,21:02,09h 28m,INR 912,7 Seats available,N/A,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 570,Ordinary 3+2 Non AC Seater,06:45,21:25,09h 20m,INR 512,35 Seats available,N/A,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 9,Himsuta AC Seater Volvo/Scania 2+2,07:30,22:00,09h 30m,INR 912,5 Seats available,N/A,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 579,Ordinary 3+2 Non AC Seater,08:15,22:30,09h 45m,INR 512,27 Seats available,N/A,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 22,Himsuta AC Seater Volvo/Scania 2+2,07:50,23:00,08h 50m,INR 912,5 Seats available,N/A,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 564,Ordinary 3+2 Non AC Seater,09:05,23:40,09h 25m,INR 512,33 Seats available,N/A,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Bedi Travels,Volvo A/C Semi Sleeper (2+2),08:00,23:00,09h 00m,636,17 Seats available,N/A,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),08:00,23:30,08h 30m,INR 799,34 Seats available,N/A,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),07:45,22:55,08h 50m,687,20 Seats available,N/A,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),07:20,22:50,08h 30m,INR 635,13 Seats available,N/A,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),07:40,23:00,08h 40m,637,23 Seats available,N/A,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 620,Ordinary 3+2 Non AC Seater,20:40,15:10,05h 30m,INR 364,36 Seats available,N/A,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
HRTC - 401270,Ordinary 3+2 Non AC Seater,21:05,17:05,04h 00m,INR 310,29 Seats available,N/A,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
HRTC - 621,Ordinary 3+2 Non AC Seater,22:00,17:10,04h 50m,INR 364,26 Seats available,N/A,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
HRTC - 15,Himsuta AC Seater Volvo/Scania 2+2,00:10,20:00,04h 10m,INR 545,29 Seats available,N/A,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
HRTC - 622,Ordinary 3+2 Non AC Seater,02:30,21:15,05h 15m,INR 369,37 Seats available,N/A,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
HRTC - 1106,Ordinary 3+2 Non AC Seater,02:00,21:40,04h 20m,INR 310,30 Seats available,N/A,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),00:30,20:20,04h 10m,INR 567,6 Seats available,N/A,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),01:20,21:15,04h 05m,569,21 Seats available,N/A,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
Northern Travels,Volvo A/C Semi Sleeper (2+2),01:30,21:45,03h 45m,INR 455,17 Seats available,N/A,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
