Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
APSRTC - 35188,VENNELA (A.C. SLEEPER),00:40,06:45,06h 05m,737,23 Seats available,N/A,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 3563,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:00,07:15,06h 15m,412,30 Seats available,N/A,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 35266,VENNELA (A.C. SLEEPER),01:25,07:30,06h 05m,737,20 Seats available,N/A,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 3590,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:45,08:00,06h 15m,412,33 Seats available,N/A,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 3058,VENNELA (A.C. SLEEPER),02:10,08:15,06h 05m,737,15 Seats available,N/A,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
FRESHBUS,Electric A/C Seater (2+2),12:50,19:30,06h 40m,363,34 Seats available,N/A,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:05,06:00,06h 55m,389,33 Seats available,N/A,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
FRESHBUS,Electric A/C Seater (2+2),10:25,17:25,07h 00m,254,34 Seats available,N/A,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
AdSai RK Travels,Non A/C Seater / Sleeper (2+1),22:35,04:30,05h 55m,349,26 Seats available,N/A,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
FRESHBUS,Electric A/C Seater (2+2),16:35,23:55,07h 20m,329,33 Seats available,N/A,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
TGSRTC - 4173,Rajdhani (AC Semi Sleeper 2+2),00:05,05:00,04h 55m,389,26 Seats available,N/A,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8678,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:00,05:20,04h 20m,320,32 Seats available,N/A,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 4167,Rajdhani (AC Semi Sleeper 2+2),04:15,07:45,03h 30m,389,30 Seats available,N/A,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 48859,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:45,09:00,04h 15m,320,32 Seats available,N/A,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8666,LAHARI A/C SLEEPER CUM SEATER,05:00,10:10,05h 10m,389,34 Seats available,N/A,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 64023,Rajdhani (AC Semi Sleeper 2+2),05:00,10:00,05h 00m,389,24 Seats available,N/A,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8674,Rajdhani (AC Semi Sleeper 2+2),05:00,08:30,03h 30m,389,31 Seats available,N/A,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8705,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:10,09:25,04h 15m,320,32 Seats available,N/A,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 1951,LAHARI A/C SLEEPER CUM SEATER,05:30,11:00,05h 30m,389,35 Seats available,N/A,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8680,Rajdhani (AC Semi Sleeper 2+2),05:45,09:15,03h 30m,389,32 Seats available,N/A,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8809,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:45,11:40,05h 55m,320,32 Seats available,N/A,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8823,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:50,09:50,04h 00m,320,32 Seats available,N/A,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8727,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:00,10:15,04h 15m,320,32 Seats available,N/A,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8806,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:20,12:45,06h 25m,320,29 Seats available,N/A,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8638,Rajdhani (AC Semi Sleeper 2+2),06:30,10:00,03h 30m,389,31 Seats available,N/A,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),21:20,03:30,06h 10m,400,32 Seats available,N/A,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
RRR Travels,A/C Sleeper (2+1),22:00,04:00,06h 00m,900,28 Seats available,N/A,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Orange Tours and Travels,NON A/C Seater/ Sleeper (2+1),23:30,04:30,05h 00m,500,40 Seats available,N/A,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),22:20,03:50,05h 30m,380,29 Seats available,N/A,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),21:20,03:45,06h 25m,380,30 Seats available,N/A,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8615,Rajdhani (AC Semi Sleeper 2+2),03:15,08:15,05h 00m,389,7 Seats available,N/A,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 8653,Rajdhani (AC Semi Sleeper 2+2),04:00,07:00,03h 00m,389,1 Seat available,N/A,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 8688,Rajdhani (AC Semi Sleeper 2+2),04:45,07:45,03h 00m,389,10 Seats available,N/A,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 8627,Rajdhani (AC Semi Sleeper 2+2),05:00,08:30,03h 30m,389,10 Seats available,N/A,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 1321,LAHARI A/C SLEEPER CUM SEATER,05:40,08:00,02h 20m,383,25 Seats available,N/A,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 64959,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:50,09:30,03h 40m,320,24 Seats available,N/A,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 8937,Deluxe (Non AC Seater 2+2),06:15,10:20,04h 05m,281,36 Seats available,N/A,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 8694,Rajdhani (AC Semi Sleeper 2+2),06:15,09:45,03h 30m,389,30 Seats available,N/A,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 8633,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:45,10:55,04h 10m,320,32 Seats available,N/A,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 64826,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",07:10,10:45,03h 35m,320,29 Seats available,N/A,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 1954,LAHARI A/C SLEEPER CUM SEATER,07:25,10:00,02h 35m,383,35 Seats available,N/A,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 9222,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",07:45,13:20,05h 35m,353,31 Seats available,N/A,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
