Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
Assam State Transport Corporation (ASTC) - 79324,Volvo AC Seater 2+2,04h 45m,13:45,04h 45m,INR 298,22 Seats available,3.9,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Orient Transline,A/C Seater (2+1),04h 30m,12:00,04h 30m,INR 380.95,16 Seats available,4.4,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Orient Transline,A/C Seater (2+1),03h 00m,12:10,03h 00m,INR 380.95,4 Seats available,4.2,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Orient Transline,A/C Seater (2+1),04h 00m,12:50,04h 00m,INR 380.95,11 Seats available,4.1,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
WARISPIYA TRAVELS,AC Seater (2+2),03h 40m,15:00,03h 40m,INR 360,30 Seats available,4.3,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
WARISPIYA TRAVELS,AC Seater (2+2),03h 40m,15:35,03h 40m,INR 360,32 Seats available,4.0,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),03h 25m,16:15,03h 25m,INR 360,32 Seats available,4.5,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Kalpana Travels,AC Seater (2+2),03h 25m,16:50,03h 25m,351,34 Seats available,4.6,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Yatra Travels,NON AC Seater/ Sleeper (2+1),04h 45m,19:00,04h 45m,450,22 Seats available,3.6,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Karisma Aarna,A/C Seater (2+1),04h 30m,17:15,04h 30m,351,38 Seats available,4.2,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Yatra Travels,A/C Seater / Sleeper (2+1),05h 30m,20:00,05h 30m,450,35 Seats available,4.6,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Yatra Travels,NON AC Seater/ Sleeper (2+1),04h 30m,20:30,04h 30m,450,43 Seats available,4.6,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Pranjit Travels (Under ASTC),Non AC Seater (2+1),05h 00m,20:30,05h 00m,INR 450,34 Seats available,3.6,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),05h 00m,20:30,05h 00m,INR 450,33 Seats available,3.9,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Pranjit Travels (Under ASTC),NON A/C Seater (2+1),04h 30m,20:40,04h 30m,INR 450,29 Seats available,3.9,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Assam State Transport Corporation (ASTC) - 146146,Bharat Benz A/C Seater (2+2),03h 00m,13:00,03h 00m,INR 191,25 Seats available,4.4,Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon
Assam State Transport Corporation (ASTC) - 146079,Bharat Benz A/C Seater (2+2),02h 45m,14:15,02h 45m,INR 191,26 Seats available,3.6,Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon
Orient Transline,A/C Seater (2+1),02h 50m,12:00,02h 50m,INR 333.33,16 Seats available,4.6,Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon
