Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
JKRTC - 169878,A/C Seater Executive (2+1),07:30,08h 00m,08h 00m,INR 829,13 Seats available,3.5,Srinagar to Jammu (j and k),https://www.redbus.in/bus-tickets/srinagar-to-jammu
Jamna Travels-Jammu,Non AC Seater (2+2),19:00,11h 45m,11h 45m,INR 549,28 Seats available,1.9,Srinagar to Jammu (j and k),https://www.redbus.in/bus-tickets/srinagar-to-jammu
New Pal Travels,NON A/C Seater / Sleeper (2+2),19:00,10h 00m,10h 00m,INR 499,39 Seats available,1.6,Srinagar to Jammu (j and k),https://www.redbus.in/bus-tickets/srinagar-to-jammu
JKRTC - 169877,A/C Seater Executive (2+1),07:30,08h 00m,08h 00m,INR 829,6 Seats available,3.4,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar
Jamna Travels-Jammu,Non AC Seater (2+2),21:30,10h 30m,10h 30m,INR 549,38 Seats available,2.8,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar
New Pal Travels,NON A/C Seater / Sleeper (2+2),21:30,10h 00m,10h 00m,INR 699,35 Seats available,1.6,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar
North Kashmir Tour and Travels,NON A/C Sleeper (2+2),17:15,10h 00m,10h 00m,INR 699,40 Seats available,1.6,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar
North Kashmir Tour and Travels,NON A/C Sleeper (2+2),16:30,10h 00m,10h 00m,INR 699,40 Seats available,1.6,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar
Zingbus Plus,A/C Sleeper (2+1),21:35,19h 50m,19h 50m,3220,22 Seats available,4.1,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar
Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:00,19h 20m,19h 20m,2503,21 Seats available,3.8,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar
Big Bus,A/C Seater / Sleeper (2+2),21:15,18h 15m,18h 15m,INR 2599,31 Seats available,2.6,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar
DIVA BUS,AC Sleeper (2+1),15:00,17h 00m,17h 00m,INR 3000,17 Seats available,2.3,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar
Ashok Travels,A/C Seater / Sleeper (2+2),21:30,18h 15m,18h 15m,INR 2955,35 Seats available,2.7,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar
Just Bus,A/C Sleeper (2+2),21:31,15h 24m,15h 24m,INR 2380,27 Seats available,2.2,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar
JKRTC - 178970,NON A/C Seater (2+3),04:37,11h 53m,11h 53m,INR 811,42 Seats available,3.8,Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi
JKRTC - 178971,NON A/C Seater (2+3),05:45,12h 00m,12h 00m,INR 811,42 Seats available,2.9,Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi
JKRTC - 178972,NON A/C Seater (2+3),08:20,12h 00m,12h 00m,INR 811,39 Seats available,2.9,Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi
JKRTC - 178973,NON A/C Seater (2+3),10:00,12h 00m,12h 00m,INR 811,42 Seats available,2.9,Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi
JKRTC - 178974,NON A/C Seater (2+3),11:10,12h 00m,12h 00m,INR 811,42 Seats available,2.9,Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi
JKRTC - 178976,NON A/C Seater (2+3),11:55,12h 00m,12h 00m,INR 811,42 Seats available,2.9,Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi
JKRTC - 178969,NON A/C Seater (2+3),14:20,13h 10m,13h 10m,INR 811,42 Seats available,3.2,Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi
JKRTC - 178977,NON A/C Seater (2+3),16:00,13h 00m,13h 00m,INR 811,42 Seats available,2.9,Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi
JKRTC - 178968,NON A/C Seater (2+3),20:30,12h 00m,12h 00m,INR 811,42 Seats available,1.8,Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi
Ram Dalal Holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),21:10,11h 50m,11h 50m,969,28 Seats available,4.9,Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi
