Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
Rubi Paribahan  ,Volvo 9600 A/C Seater/Sleeper (2+1),12h 20m,19:40,12h 20m,INR 1000,27 Seats available,4.4,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Rubi Paribahan  ,Volvo 9600 Multi-Axle A/C Sleeper (2+1),11h 45m,19:45,11h 45m,INR 1200,12 Seats available,4.3,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Shyamoli Paribahan Pvt Ltd,Volvo 9600 A/C Seater/Sleeper (2+1),12h 00m,19:45,12h 00m,INR 1200,12 Seats available,4.2,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Lokenath Bus Service,Volvo Multi-Axle A/C Seater/Sleeper (2+1),09h 00m,21:30,09h 00m,INR 1199,23 Seats available,4.1,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Aitiana Airwings,Benz A/C Sleeper (2+1),11h 45m,19:45,11h 45m,INR 1100,8 Seats available,4.0,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Poulami Paribahan,Volvo Multi-Axle A/C seater/sleeper (2+1),10h 30m,20:00,10h 30m,INR 1299,22 Seats available,4.2,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Lokenath Bus Service,Volvo A/C Seater (2+2),12h 00m,21:15,12h 00m,INR 1199,6 Seats available,4.3,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Modern Travels,Bharat Benz A/C Sleeper (2+1),11h 25m,19:50,11h 25m,INR 1440,10 Seats available,4.4,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Raipur Cruiser,Volvo 9600 Multi-Axle A/C Sleeper (2+1),10h 30m,20:00,10h 30m,1425,2 Seats available,4.7,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),12h 55m,19:50,12h 55m,INR 1500,1 Seat available,4.7,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),11h 25m,20:00,11h 25m,INR 1500,14 Seats available,4.8,Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),12h 55m,19:50,12h 55m,INR 1500,13 Seats available,4.7,Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
Shyamoli Paribahan Pvt Ltd,Volvo 9600 A/C Seater/Sleeper (2+1),13h 00m,20:00,13h 00m,INR 1199,9 Seats available,4.3,Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
Express Line,Volvo 9600 A/C Seater/Sleeper (2+1),12h 30m,20:00,12h 30m,INR 1199,18 Seats available,4.5,Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
Aitiana Airwings,Volvo Multi-Axle Sleeper A/C (2+1),11h 45m,19:45,11h 45m,INR 1499,11 Seats available,4.3,Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C seater/sleeper (2+1),11h 35m,19:45,11h 35m,INR 1199,9 Seats available,4.2,Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
Greenline,Volvo 9600 Multi-Axle A/C Sleeper (2+1),11h 45m,19:45,11h 45m,INR 1500,7 Seats available,4.6,Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),12h 55m,20:45,12h 55m,INR 1500,14 Seats available,4.7,Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),12h 55m,20:30,12h 55m,INR 1500,5 Seats available,4.7,Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
Modern Travels,Bharat Benz A/C Sleeper (2+1),11h 25m,20:20,11h 25m,INR 1500,2 Seats available,4.6,Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
NBSTC-KOL-RAI-R1-20:30 - 156416,NON A/C Seater Push Back (2+2),10h 00m,20:45,10h 00m,INR 341,9 Seats available,4.3,Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj
Express Line,Volvo 9600 A/C Seater/Sleeper (2+1),10h 30m,20:00,10h 30m,INR 1199,4 Seats available,4.5,Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj
Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),07h 30m,19:30,07h 30m,719,9 Seats available,3.7,Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj
Lokenath Bus Service,Volvo Multi-Axle A/C Seater/Sleeper (2+1),08h 00m,19:30,08h 00m,INR 1199,24 Seats available,4.5,Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj
Lokenath Bus Service,Volvo A/C Seater (2+2),08h 30m,21:15,08h 30m,INR 749,6 Seats available,4.5,Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj
Lokenath Bus Service,Volvo 9600 Multi-Axle A/C Sleeper (2+1),09h 20m,19:40,09h 20m,INR 1499,4 Seats available,4.3,Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj
Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),09h 10m,19:35,09h 10m,INR 1500,1 Seat available,4.1,Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj
Shyamoli Paribahan Pvt Ltd,Volvo 9600 A/C Seater/Sleeper (2+1),08h 45m,19:20,08h 45m,INR 800,27 Seats available,3.7,Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj
Rubi Paribahan  ,Volvo 9600 Multi-Axle A/C Sleeper (2+1),09h 15m,19:30,09h 15m,INR 1200,13 Seats available,3.4,Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj
Rubi Paribahan  ,Volvo 9600 A/C Seater/Sleeper (2+1),09h 15m,19:30,09h 15m,INR 1000,35 Seats available,3.0,Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj
Express Line,Volvo 9600 Multi-Axle A/C Sleeper (2+1),08h 55m,22:15,08h 55m,INR 1499,3 Seats available,4.7,Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata
Lokenath Bus Service,Volvo Multi-Axle A/C Seater/Sleeper (2+1),08h 00m,22:45,08h 00m,INR 1499,10 Seats available,4.4,Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata
Lokenath Bus Service,Volvo 9600 Multi-Axle A/C Sleeper (2+1),08h 15m,23:30,08h 15m,INR 1499,5 Seats available,4.5,Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata
Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C seater/sleeper (2+1),09h 05m,22:15,09h 05m,INR 1199,9 Seats available,4.5,Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata
Rubi Paribahan  ,Volvo 9600 Multi-Axle A/C Sleeper (2+1),08h 00m,23:30,08h 00m,INR 1200,1 Seat available,4.7,Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata
Shyamoli Paribahan Pvt Ltd,Volvo 9600 A/C Seater/Sleeper (2+1),09h 15m,23:45,09h 15m,INR 1199,9 Seats available,4.4,Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata
Aitiana Airwings,Volvo Multi-Axle Sleeper A/C (2+1),09h 30m,22:00,09h 30m,INR 1199,11 Seats available,4.8,Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata
Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C seater/sleeper (2+1),08h 20m,21:45,08h 20m,INR 1199,7 Seats available,3.6,Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata
Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),08h 55m,22:30,08h 55m,INR 1500,13 Seats available,3.5,Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata
Rubi Paribahan  ,Volvo 9600 A/C Seater/Sleeper (2+1),08h 55m,23:50,08h 55m,INR 1000,5 Seats available,3.6,Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata
NBSTC-KOL-BLG-R1-19:30 - 156420,NON A/C Seater Push Back (2+2),09h 30m,19:45,09h 30m,INR 281,3 Seats available,3.3,Kolkata to Malda,https://www.redbus.in/bus-tickets/kolkata-to-malda
NBSTC-KOL-RAI-R1-20:30 - 156416,NON A/C Seater Push Back (2+2),07h 00m,20:45,07h 00m,INR 280,9 Seats available,3.9,Kolkata to Malda,https://www.redbus.in/bus-tickets/kolkata-to-malda
Express Line,Volvo 9600 A/C Seater/Sleeper (2+1),08h 45m,19:45,08h 45m,INR 750,12 Seats available,4.3,Kolkata to Malda,https://www.redbus.in/bus-tickets/kolkata-to-malda
Rubi Paribahan  ,Volvo Multi Axle B11R AC Seater\Sleeper (2+1),08h 45m,19:30,08h 45m,INR 800,20 Seats available,4.1,Kolkata to Malda,https://www.redbus.in/bus-tickets/kolkata-to-malda
Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),06h 35m,19:30,06h 35m,513,7 Seats available,4.0,Kolkata to Malda,https://www.redbus.in/bus-tickets/kolkata-to-malda
Express Line,Volvo 9600 A/C Seater/Sleeper (2+1),08h 30m,20:00,08h 30m,INR 1199,6 Seats available,4.2,Kolkata to Malda,https://www.redbus.in/bus-tickets/kolkata-to-malda
Lokenath Bus Service,Volvo Multi-Axle A/C Seater/Sleeper (2+1),07h 00m,19:30,07h 00m,INR 1199,29 Seats available,3.6,Kolkata to Malda,https://www.redbus.in/bus-tickets/kolkata-to-malda
Express Line,Volvo 9600 A/C Seater/Sleeper (2+1),07h 00m,22:00,07h 00m,INR 950,1 Seat available,4.6,Malda to Kolkata,https://www.redbus.in/bus-tickets/malda-to-kolkata
Express Line,Volvo 9600 Multi-Axle A/C Sleeper (2+1),07h 40m,23:30,07h 40m,INR 1499,3 Seats available,4.6,Malda to Kolkata,https://www.redbus.in/bus-tickets/malda-to-kolkata
Lokenath Bus Service,Volvo Multi-Axle A/C Seater/Sleeper (2+1),06h 50m,23:55,06h 50m,INR 1499,3 Seats available,4.4,Malda to Kolkata,https://www.redbus.in/bus-tickets/malda-to-kolkata
Rubi Paribahan  ,Volvo Multi Axle B11R AC Seater\Sleeper (2+1),07h 10m,22:10,07h 10m,INR 750,16 Seats available,4.5,Malda to Kolkata,https://www.redbus.in/bus-tickets/malda-to-kolkata
Padmanabha Paribahan,A/C Seater / Sleeper (2+2),08h 50m,22:10,08h 50m,INR 450,9 Seats available,4.4,Malda to Kolkata,https://www.redbus.in/bus-tickets/malda-to-kolkata
Royal Cruiser,Volvo A/C Seater (2+2),07h 20m,23:15,07h 20m,513,9 Seats available,3.8,Malda to Kolkata,https://www.redbus.in/bus-tickets/malda-to-kolkata
New Dolphin Travels,NON A/C Seater / Sleeper (2+2),07h 45m,22:45,07h 45m,INR 350,28 Seats available,3.9,Malda to Kolkata,https://www.redbus.in/bus-tickets/malda-to-kolkata
Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C seater/sleeper (2+1),06h 50m,23:15,06h 50m,INR 1199,8 Seats available,3.9,Malda to Kolkata,https://www.redbus.in/bus-tickets/malda-to-kolkata
Aitiana Airwings,Volvo Multi-Axle Sleeper A/C (2+1),08h 00m,23:30,08h 00m,INR 1199,9 Seats available,4.8,Malda to Kolkata,https://www.redbus.in/bus-tickets/malda-to-kolkata
Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),07h 45m,23:40,07h 45m,INR 1500,14 Seats available,4.9,Malda to Kolkata,https://www.redbus.in/bus-tickets/malda-to-kolkata
Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C seater/sleeper (2+1),07h 35m,23:45,07h 35m,INR 1199,9 Seats available,3.6,Malda to Kolkata,https://www.redbus.in/bus-tickets/malda-to-kolkata
New Dolphin Travels,A/C Seater / Sleeper (2+2),08h 10m,22:50,08h 10m,INR 550,33 Seats available,3.7,Malda to Kolkata,https://www.redbus.in/bus-tickets/malda-to-kolkata
